pub_date	title	venue	type	full_venue	authors	citation	paper_url	code_url	slides_url	video_url	hero_img
26	SpecBranch: Speculative Decoding via Hybrid Drafting and Rollback-Aware Branch Parallelism	ICLR	conference	The International Conference on Learning Representations, Rio De Janeiro, Brazil	Yuhao Shen, Junyi Shen, Quan Kong, Tianyu Liu, Yao Lu, Cong Wang*	https://arxiv.org/abs/2506.01979	iclr26.pdf	https://github.com/Sylvan820/Specbranch			
26	End-to-End Model Generation with Large Language Models for Adaptive IoT Application Deployment	ICSE	conference	48th IEEE/ACM International Conference on Software Engineering	Zhenyu Wen, Jintao Feng, Nanjie Yao, Di Wu, Cong Wang, Mincheng Wu, Jianbin Qin, Shibo He						
26	Beyond Single-Point Perturbation: A Hierarchical, Manifold-Aware Approach to Diffusion Attacks	AAAI	conference	The 40th Annual AAAI Conference on Artificial Intelligence, Singapore	Zhijie Wang, Lin Wang, Zhenyu Wen, Cong Wang*						
26	RFF-TTA: Physical Information-Aware Prototype for Temporally Varying RF Fingerprinting Online Test-Time-Adaptation	AAAI	conference	The 40th Annual AAAI Conference on Artificial Intelligence, Singapore	Taotao Li, Yiyang Li, Zhenyu Wen, Jiahao Lin, Jinhao Wan, Jie Su, Cong Wang, Zhen Hong						
25	Can't Slow me Down: Learning Robust and Hardware-Adaptive Object Detectors against Latency Attacks for Edge Devices	CVPR	conference	IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), Nashville TN, USA	Tianyi Wang, Zichen Wang, Cong Wang*, Yuanchao Shu, Ruilong Deng, Peng Cheng, Jiming Chen		cvpr25.pdf	https://github.com/Hill-Wu-1998/underload			
25	Fed-DFA: Federated Distillation for Heterogeneous Model Fusion through the Adversarial Lens	AAAI	conference	The 39th Annual AAAI Conference on Artificial Intelligence, Philadelphia, PA, USA	Zichen Wang, Feng Yan, Tianyi Wang, Cong Wang*, Yuanchao Shu, Peng Cheng, Jiming Chen		aaai25.pdf				
25	DeCoRec: Decoupled Collaborative Refinement for Multi-Modal Sequential Recommendations	ACM MM	conference	ACM Multimedia Conference, Dublin, Ireland, 2025	Zhaoqi Chen, Wanni Xu, Yunfeng Zhang, Yawei Hou, Zhenyu Wen, Cong Wang*						
25	FLMarket: Enabling Privacy-preserved Pre-training Data Pricing for Federated Learning	KDD	conference	ACM SIGKDD Conference on Knowledge Discovery and Data Mining	Zhenyu Wen, Wanglei Feng, Di Wu*, Haozhen Hu, Chang Xu, Bin Qian, Zhen Hong, Cong Wang*, Shouling Ji		https://arxiv.org/pdf/2411.11713			https://www.youtube.com/watch?v=GNJfaPAP5K8	
25	Hetero<sup>2</sup>Pipe: Pipelining Multi-DNN Inference on Heterogeneous Mobile Processors under Co-Execution Slowdown	ICDCS	conference	IEEE International Conference on Distributed Computing Systems, Glasgow, UK, 2025	Yuhao Shen, Zichen Wang, Tianyi Wang, Chaojie Gu, Zhenyu Wen, Yuanchao Shu, Cong Wang*						
24	Heterogeneity-aware memory efficient federated learning via progressive layer freezing	IWQoS	conference	IEEE/ACM 32nd International Symposium on Quality of Service (IWQoS), 2024	Yebo Wu, Li Li, Chunlin Tian, Tao Chang, Chi Lin, Cong Wang, Cheng-Zhong Xu						
23	Unsupervised Multi-Criteria Adversarial Detection in Deep Image Retrieval	SecureComm	conference	International Conference on Security and Privacy in Communication Systems, 2023	Yanru Xiao, Cong Wang*, Xing Gao						
22	Energy Minimization for Federated Asynchronous Learning on Battery-Powered Mobile Devices via Application Co-running	ICDCS	conference	IEEE International Conference on Distributed Computing Systems, 2022	Cong Wang*, Bin Hu and Hongyi Wu		icdcs22.pdf				
21	You See What I Want You to See: Exploring Targeted Black-Box Transferability Attack for Hash-based Image Retrieval Systems	CVPR	conference	IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), 2021	Yanru Xiao and Cong Wang*		https://openaccess.thecvf.com/content/CVPR2021/papers/Xiao_You_See_What_I_Want_You_To_See_Exploring_Targeted_CVPR_2021_paper.pdf	https://github.com/SugarRuy/CVPR21_Transferred_Hash			
20	Evade Deep Image Retrieval by Stashing Private Images in the Hash Space	CVPR	conference	IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), 2020	Yanru Xiao, Cong Wang* and Xing Gao		https://openaccess.thecvf.com/content_CVPR_2020/papers/Xiao_Evade_Deep_Image_Retrieval_by_Stashing_Private_Images_in_the_CVPR_2020_paper.pdf	https://github.com/SugarRuy/HashStash			
20	Gangsweep: Sweep out neural backdoors by gan	ACM MM	conference	Proceedings of the 28th ACM International Conference on Multimedia, 2020	Liuwan Zhu, Rui Ning, Cong Wang, Chunsheng Xin, Hongyi Wu						
20	Design and Optimization of Electric Autonomous Vehicles with Renewable Energy Source for Smart Cities	INFOCOM	conference	IEEE Conference on Computer Communications, Toronto, ON, Canada, 2020	Pengzhan Zhou, Cong Wang and Yuanyuan Yang						
20	Optimize Scheduling of Federated Learning on Battery-powered Mobile Devices	IPDPS	conference	IEEE International Parallel and Distributed Processing Symposium (IPDPS), New Orleans, LA, USA, 2020	Cong Wang*, Xin Wei and Pengzhan Zhou						
20	E-Sharing: Data-driven Online Optimization of Parking Location Placement for Dockless Electric Bike Sharing	ICDCS	conference	International Conference on Distributed Computing Systems (ICDCS), Singapore, 2020	Pengzhan Zhou, Xin Wei, Cong Wang* and Yuanyuan Yang*		https://colinzpz.github.io/files/icdcs20.pdf				
19	Explore Truthful Incentives for Tasks with Heterogenous Levels of Difficulty in the Sharing Economy	IJCAI	conference	Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence	Pengzhan Zhou, Xin Wei, Cong Wang* and Yuanyuan Yang*		https://www.ijcai.org/proceedings/2019/0094.pdf				
19	Close the Gap between Deep Learning and Mobile Intelligence by Incorporating Training in the Loop	ACM MM	conference	Proceedings of the 27th ACM International Conference on Multimedia, 2019	Cong Wang*, Yanru Xiao, Xing Gao, Li Li, Jun Wang						
19	Houdiniâ€™s Escape: Breaking the Resource Rein of Linux Control Groups	CCS	conference	ACM Conference on Computer and Communications Security (CCS), London, UK, 2019	Xing Gao, Zhongshu Gu, Zhengfa Li, Hani Jamjoom, Cong Wang						
19	CapJack: Capture In-Browser Crypto-jacking by Deep Capsule Network through Behavioral Analysis	INFOCOM	conference	IEEE Conference on Computer Communications, Paris, France, 2019	Rui Ning, Cong Wang, Chunsheng Xin, Jiang Li, Liuwan Zhu and Hongyi Wu						
19	Self-sustainable Sensor Networks with Multi-source Energy Harvesting and Wireless Charging	INFOCOM	conference	IEEE Conference on Computer Communications, Paris, France, 2019	Pengzhan Zhou, Cong Wang, Yuanyuan Yang						
18	GELU-Net: A Globally Encrypted, Locally Unencrypted Deep Neural Network for Privacy-Preserved Learning	IJCAI	conference	Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence	Qiao Zhang, Cong Wang, Hongyi Wu, Chunsheng Xin, Tran V Phuong		https://www.ijcai.org/Proceedings/2018/0547.pdf				
18	DeepMag: Sniffing Mobile Apps in Magnetic Field through Deep Convolutional Neural Networks	PerCom	conference	IEEE International Conference on Pervasive Computing and Communications (PerCom), Athens, Greece, 2018	Rui Ning, Cong Wang, Chunsheng Xin, Jiang Li and Hongyi Wu						
17	Leveraging Target k-Coverage in Wireless Rechargeable Sensor Network	ICDCS	conference	IEEE International Conference on Distributed Computing Systems, Atlanta, GA, 2017	Pengzhan Zhou, Cong Wang and Yuanyuan Yang						
17	Design and Implementation of a Versatile Platform for Mobile Data Gathering in Wireless Sensor Networks	ICDCS	conference	IEEE International Conference on Distributed Computing Systems, Atlanta, GA, 2017	Ji Li, Cong Wang and Yuanyuan Yang						
16	A Hybrid Framework Combining Solar Energy Harvesting and Wireless Charging for Wireless Sensor Networks	INFOCOM	conference	IEEE International Conference on Computer Communications, San Francisco, CA, 2016	Cong Wang, Ji Li, Yuanyuan Yang and Fan Ye						
15	Improve Charging Capability for Wireless Rechargeable Sensor Networks using Resonant Repeaters	ICDCS	conference	IEEE International Conference on Distributed Computing Systems, Columbus, OH, 2015	Cong Wang, Ji Li, Fan Ye and Yuanyuan Yang						
15	Joint Wireless Charging and Sensor Activity Management in Wireless Rechargeable Sensor Networks	ICPP	conference	IEEE International Conference on Parallel Processing, Beijing, China, 2015	Yuan Gao, Cong Wang and Yuanyuan Yang						
14	Recharging Schedules for Wireless Sensor Networks with Vehicle Movement Costs and Capacity Constraints	SECON	conference	IEEE International Conference on Sensing Communication and Networking (IEEE SECON), Singapore, 2014	Cong Wang, Ji Li, Fan Ye and Yuanyuan Yang						
13	Mobile Data Gathering with Wireless Energy Replenishment in Rechargeable Sensor Networks	INFOCOM	conference	IEEE International Conference on Computer Communications, Turin, Italy, 2013	Songtao Guo, Cong Wang and Yuanyuan Yang						
13	Multi-Vehicle Coordination for Wireless Energy Replenishment in Sensor Networks	IPDPS	conference	IEEE 27th International Symposium on Parallel and Distributed Processing (IPDPS)	Cong Wang, Ji Li, Fan Ye, Yuanyuan Yang						
